simulation_id,triggered,trigger_time,payoff,final_salary,min_salary,avg_salary
2173,True,13.0,9680.224498313057,3171.4980928807067,3171.4980928807067,4056.9991409579243
2174,True,36.0,9139.311852712268,3606.410012277355,3606.410012277355,4654.056234740894
2175,True,13.0,9680.224498313057,4052.745660672682,4014.6430362283286,4412.4418977581945
2176,True,16.0,9607.894391523227,3226.689744659801,3148.322980713445,4073.2449061003877
2177,True,13.0,9680.224498313057,2741.520707935315,2741.520707935315,3717.852972299101
2178,True,21.0,9488.543210558004,3851.3463980939973,3823.185495348582,4400.122068861677
2179,True,13.0,9680.224498313057,2713.0846149843815,2664.1317313494155,3832.762776078161
2180,True,16.0,9607.894391523227,3193.125759450478,3180.3938201400197,4134.981864002972
2181,True,12.0,9704.455335485078,2788.0042277956345,2788.0042277956345,3978.251048159911
2182,True,29.0,9300.657466602774,3687.871028061176,3619.2267876932146,4552.650394502377
2183,True,18.0,9559.974818330991,3349.9407249059764,3341.7756669613414,4101.266129892894
2184,True,32.0,9231.163463866347,3739.815116501632,3739.815116501632,4597.44571814253
2185,True,16.0,9607.894391523227,3354.193106849059,3328.8846700864333,4137.8679357977335
2186,True,12.0,9704.455335485078,3227.0900273818397,3162.6253840461495,4064.2881125566
2187,True,12.0,9704.455335485078,3419.2175811595994,3375.3418796519427,4244.345811574602
2188,True,13.0,9680.224498313057,3530.601344718552,3519.799080810996,4197.944239272041
2189,True,14.0,9656.05416257566,3027.93568126394,3027.93568126394,3961.6237226950625
2190,True,24.0,9417.645335842479,3197.174548930757,3197.174548930757,4195.4953671203775
2191,True,9.0,9777.51237193336,3064.630320784405,3064.630320784405,3920.8272366337624
2192,True,18.0,9559.974818330991,2923.54904516761,2910.361287728625,3988.157468021226
2193,True,18.0,9559.974818330991,3650.109643145884,3502.7176469350898,4384.692304050492
2194,True,10.0,9753.099120283323,3780.1204785647,3626.089785300677,4042.4008070504233
2195,True,10.0,9753.099120283323,2865.590647123824,2728.300843423165,3683.1259667131117
2196,True,10.0,9753.099120283323,3276.490274645528,3246.8148333185195,3943.1608361875847
2197,True,18.0,9559.974818330991,3406.9598675704274,3182.3587245738354,4104.7361302940635
2198,True,31.0,9254.270243966357,4255.743300285566,4244.094645355818,4715.874965056443
2199,True,23.0,9441.218903864214,3565.170878334903,3565.170878334903,4230.910673042362
2200,True,9.0,9777.51237193336,3160.6115467532195,3128.656293473593,3789.224393778662
2201,True,14.0,9656.05416257566,3303.7098975056874,3295.023242674561,4130.107046386522
2202,True,9.0,9777.51237193336,2798.709442686219,2798.709442686219,3711.5135506550564
2203,True,18.0,9559.974818330991,3516.8525399303257,3516.8525399303257,4433.057242691848
2204,True,21.0,9488.543210558004,3515.997274546717,3515.997274546717,4328.350765207566
2205,True,11.0,9728.746825534536,2865.29579376817,2865.29579376817,3827.67974414641
2206,True,14.0,9656.05416257566,3831.9228472962754,3831.9228472962754,4341.886534759344
2207,True,16.0,9607.894391523227,2924.8290893844814,2922.5342704910076,3827.3946594798845
2208,True,23.0,9441.218903864214,3043.107968358013,3043.107968358013,4096.988175446728
2209,True,31.0,9254.270243966357,3778.178352810755,3778.178352810755,4510.80957047098
2210,True,12.0,9704.455335485078,3442.3393332962773,3442.3393332962773,4001.5726805529152
2211,True,28.0,9323.938199059472,4100.928222583881,4090.7774245408245,4568.9172591821225
2212,True,21.0,9488.543210558004,2913.191596502497,2854.828568715462,4114.631972269875
2213,True,11.0,9728.746825534536,2862.644284304432,2862.644284304432,3772.0932156441863
2214,True,12.0,9704.455335485078,2777.7523785913295,2777.7523785913295,3720.7050918105356
2215,True,23.0,9441.218903864214,3320.49336634751,3320.49336634751,4277.513902551438
2216,True,15.0,9631.944177208212,2657.5896294053023,2657.5896294053023,3751.038917046318
2217,True,17.0,9583.904655209462,2987.1899887284862,2938.165736038196,3898.3154361655056
2218,True,8.0,9801.98673306755,3094.4750172866793,3046.0049932777356,3741.4040368657497
2219,False,,0.0,3957.5452624510795,3957.5452624510795,4635.972490161683
2220,False,,0.0,3579.9650460746375,3579.9650460746375,4612.379911813512
2221,True,13.0,9680.224498313057,2545.5470739289344,2545.5470739289344,3806.3173833720402
2222,True,15.0,9631.944177208212,3162.9576830393785,3162.9576830393785,4026.820597892654
